"Title","Latitude","Longitude","Description","LocalPath"
"1d0000097d_20250815_100000_Delay+4s_1024x768_Cam00_00.jpg",45.6145088,23.3816688,"ID: 1d0000097d | UTC: 2025-08-15 10:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250815_100000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250815_180000_Delay+4s_1024x768_Cam00_00 (1).jpg",44.106176,24.8090384,"ID: 1d0000097d | UTC: 2025-08-15 18:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250815_180000_Delay+4s_1024x768_Cam00_00 (1).jpg"
"1d0000097d_20250815_180000_Delay+4s_1024x768_Cam00_00.jpg",44.106176,24.8090384,"ID: 1d0000097d | UTC: 2025-08-15 18:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250815_180000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250819_100000_Delay+4s_1024x768_Cam00_00.jpg",43.8736384,25.1074736,"ID: 1d0000097d | UTC: 2025-08-19 10:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250819_100000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250820_100000_Delay+4s_1024x768_Cam00_00.jpg",43.8556128,25.08992,"ID: 1d0000097d | UTC: 2025-08-20 10:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250820_100000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250822_140000_Delay+5s_1024x768_Cam00_00.jpg",43.8715072,25.1043728,"ID: 1d0000097d | UTC: 2025-08-22 14:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250822_140000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097d_20250823_060000_Delay+4s_1024x768_Cam00_00.jpg",43.8394304,25.1107952,"ID: 1d0000097d | UTC: 2025-08-23 06:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250823_060000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250823_140000_Delay+4s_1024x768_Cam00_00.jpg",43.8561056,25.0936128,"ID: 1d0000097d | UTC: 2025-08-23 14:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250823_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250823_160000_Delay+4s_1024x768_Cam00_00.jpg",43.876432,25.0870384,"ID: 1d0000097d | UTC: 2025-08-23 16:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250823_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250824_140000_Delay+4s_1024x768_Cam00_00.jpg",43.871696,25.088232,"ID: 1d0000097d | UTC: 2025-08-24 14:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250824_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250824_160000_Delay+4s_1024x768_Cam00_00.jpg",43.8789184,25.0885296,"ID: 1d0000097d | UTC: 2025-08-24 16:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250824_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250825_120000_Delay+4s_1024x768_Cam00_00.jpg",43.8732768,25.0911184,"ID: 1d0000097d | UTC: 2025-08-25 12:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250825_120000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250825_140000_Delay+4s_1024x768_Cam00_00.jpg",43.8775072,25.08708,"ID: 1d0000097d | UTC: 2025-08-25 14:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250825_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097e_20250816_160000_Delay+5s_1024x768_Cam00_00.jpg",49.1375552,20.4298256,"ID: 1d0000097e | UTC: 2025-08-16 16:00:00","C:/tmp/github/stork-log-photos/1d0000097e_20250816_160000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097e_20250816_180000_Delay+4s_1024x768_Cam00_00.jpg",49.137568,20.4298272,"ID: 1d0000097e | UTC: 2025-08-16 18:00:00","C:/tmp/github/stork-log-photos/1d0000097e_20250816_180000_Delay+4s_1024x768_Cam00_00.jpg"
